min_x,min_y,max_x,max_y,name
-41.048606074582445,-21.633622062729508,-41.04724481278516,-21.632508191139884,Rodoviária Municipal Doutor Fernando Hélio Pinheiro
-41.0195905415876,-21.62688426691402,-41.01862485824874,-21.625981333059748,
-41.113526250984364,-21.341576797669827,-41.11066031746595,-21.340553205006035,Marquise
-41.11809831455855,-21.47526320925058,-41.11668942947129,-21.474043926532374,Terminal Rodoviário Manoel Carlos da Silva
-41.01551932599978,-21.62357240229884,-41.014422973213975,-21.622533797705266,
-41.01868783174653,-21.62388645806114,-41.01694570101643,-21.622632818485645,Antiga Estação de Trem de Atafona
-41.05099403745955,-21.645756683788512,-41.04985216167276,-21.644785215751188,
-41.051850804930716,-21.648863356642988,-41.05088499490292,-21.64796044333071,
-41.02092489682362,-21.643624765633295,-41.019959103012546,-21.64272183434046,
-41.045097162568176,-21.63550595928022,-41.04413143726607,-21.634603040693495,Estação das Artes / Antiga Estação Ferroviária de São João da Barra
